b_AD,b_CN,b_SMCI,correct_count,acc,bacc,macro_f1,bias_l2_norm
-0.90000000000000002,-0,0,486,0.90334572490706322,0.83451919487753745,0.86586212624524872,0.90000000000000002
-0.90000000000000002,0.10000000000000001,0,488,0.90706319702602234,0.8392722121725481,0.86883359506295277,0.90553851381374173
-0.90000000000000002,0.20000000000000001,0,485,0.9014869888475836,0.83576344024272353,0.86450916237575848,0.92195444572928875
-0.90000000000000002,0.29999999999999999,0,483,0.89776951672862448,0.83402771795828912,0.86165935154839524,0.94868329805051377
-0.90000000000000002,0.40000000000000002,0,483,0.89776951672862448,0.83523463596251946,0.86169678203507305,0.98488578017961048
-0.90000000000000002,0.5,0,476,0.88475836431226762,0.82704750145959549,0.8517403721754645,1.0295630140987
-0.90000000000000002,0.59999999999999998,0,473,0.879182156133829,0.82414218853188626,0.84752689672274784,1.0816653826391969
-0.90000000000000002,0.69999999999999996,0,467,0.86802973977695164,0.81833156267646745,0.83914597278846337,1.1401754250991381
-0.90000000000000002,0.80000000000000004,0,461,0.85687732342007439,0.81131401881681831,0.83076004159754469,1.2041594578792296
-0.90000000000000002,0.90000000000000002,0,456,0.84758364312267653,0.80667298360467443,0.82384488106735532,1.2727922061357855
-0.90000000000000002,1,0,448,0.83271375464684017,0.79731625845847576,0.81273714549498621,1.3453624047073711
-0.80000000000000004,-1,0,463,0.86059479553903351,0.79501823298015906,0.83467654987572037,1.2806248474865698
-0.80000000000000004,-0.90000000000000002,0,465,0.86431226765799252,0.79856433227093915,0.83794454177729438,1.2041594578792296
-0.80000000000000004,-0.80000000000000004,0,466,0.86617100371747213,0.80033738191632919,0.83957002824927363,1.131370849898476
-0.80000000000000004,-0.69999999999999996,0,469,0.87174721189591076,0.80625998985461467,0.84456267003691965,1.063014581273465
-0.80000000000000004,-0.59999999999999998,0,475,0.88289962825278812,0.81750174672907028,0.85418002271934856,1
-0.80000000000000004,-0.5,0,477,0.88661710037174724,0.82165130502196571,0.85739416333232576,0.94339811320566047
-0.80000000000000004,-0.40000000000000002,0,480,0.89219330855018586,0.82757391296025107,0.86209838001368944,0.89442719099991597
-0.80000000000000004,-0.29999999999999999,0,483,0.89776951672862448,0.83349652089853654,0.86673104166323844,0.8544003745317531
-0.80000000000000004,-0.20000000000000001,0,486,0.90334572490706322,0.83881566983470679,0.87125242675588799,0.82462112512353214
-0.80000000000000004,-0.10000000000000001,0,491,0.91263940520446096,0.84768091806165702,0.87871073977563163,0.80622577482985502
-0.80000000000000004,-0,0,488,0.90706319702602234,0.84477560513394778,0.87437715993944509,0.80000000000000004
-0.80000000000000004,0.10000000000000001,0,490,0.91078066914498146,0.84952862242895832,0.87736183641268395,0.80622577482985502
-0.80000000000000004,0.20000000000000001,0,487,0.90520446096654272,0.84601985049913375,0.87303641761336248,0.82462112512353214
-0.80000000000000004,0.29999999999999999,0,485,0.9014869888475836,0.84428412821469934,0.87018908484877067,0.8544003745317531
-0.80000000000000004,0.40000000000000002,0,485,0.9014869888475836,0.84549104621892968,0.87023292722774581,0.89442719099991597
-0.80000000000000004,0.5,0,478,0.88847583643122674,0.83730391171600582,0.86027371523554719,0.94339811320566047
-0.80000000000000004,0.59999999999999998,0,475,0.88289962825278812,0.83439859878829647,0.85606209224299679,1
-0.80000000000000004,0.69999999999999996,0,469,0.87174721189591076,0.82858797293287767,0.84768457336838365,1.063014581273465
-0.80000000000000004,0.80000000000000004,0,463,0.86059479553903351,0.82157042907322853,0.83929522515492694,1.131370849898476
-0.80000000000000004,0.90000000000000002,0,458,0.85130111524163565,0.81692939386108476,0.83238321936602533,1.2041594578792296
-0.80000000000000004,1,0,450,0.83643122676579928,0.80757266871488598,0.82126969118287974,1.2806248474865698
-0.69999999999999996,-1,0,464,0.86245353159851301,0.80014643810836417,0.83878419725680142,1.2206555615733703
-0.69999999999999996,-0.90000000000000002,0,466,0.86617100371747213,0.80369253739914426,0.84205509170994686,1.1401754250991381
-0.69999999999999996,-0.80000000000000004,0,467,0.86802973977695164,0.8054655870445343,0.84368203974503186,1.063014581273465
-0.69999999999999996,-0.69999999999999996,0,470,0.87360594795539037,0.81138819498281978,0.84868041694388996,0.98994949366116647
-0.69999999999999996,-0.59999999999999998,0,476,0.88475836431226762,0.82262995185727539,0.85830823933717815,0.92195444572928864
-0.69999999999999996,-0.5,0,478,0.88847583643122674,0.82677951015017082,0.86152688809964761,0.86023252670426265
-0.69999999999999996,-0.40000000000000002,0,481,0.89405204460966547,0.83270211808845629,0.86623729119650816,0.80622577482985491
-0.69999999999999996,-0.29999999999999999,0,484,0.8996282527881041,0.83862472602674165,0.87087627777308441,0.76157731058639078
-0.69999999999999996,-0.20000000000000001,0,487,0.90520446096654272,0.8439438749629119,0.87540261713470124,0.72801098892805183
-0.69999999999999996,-0.10000000000000001,0,492,0.91449814126394047,0.85280912318986235,0.88286935286935286,0.70710678118654746
-0.69999999999999996,-0,0,489,0.90892193308550184,0.84990381026215289,0.87853688901034666,0.69999999999999996
-0.69999999999999996,0.10000000000000001,0,491,0.91263940520446096,0.85465682755716355,0.88152822917508822,0.70710678118654746
-0.69999999999999996,0.20000000000000001,0,488,0.90706319702602234,0.85114805562733897,0.87720232828310174,0.72801098892805183
-0.69999999999999996,0.29999999999999999,0,486,0.90334572490706322,0.84941233334290445,0.8743562591190378,0.76157731058639078
-0.69999999999999996,0.40000000000000002,0,486,0.90334572490706322,0.85061925134713479,0.87440334256226115,0.80622577482985491
-0.69999999999999996,0.5,0,479,0.89033457249070636,0.84243211684421093,0.86444275530651382,0.86023252670426265
-0.69999999999999996,0.59999999999999998,0,476,0.88475836431226762,0.83952680391650158,0.86023208757906977,0.92195444572928864
-0.69999999999999996,0.69999999999999996,0,470,0.87360594795539037,0.83371617806108278,0.8518563300620009,0.98994949366116647
-0.69999999999999996,0.80000000000000004,0,464,0.86245353159851301,0.82669863420143386,0.8434652947696426,1.063014581273465
-0.69999999999999996,0.90000000000000002,0,459,0.85315985130111527,0.82205759898928987,0.83655492234955009,1.1401754250991381
-0.69999999999999996,1,0,451,0.83828996282527879,0.81270087384309109,0.82543852503107784,1.2206555615733703
-0.59999999999999998,-1,0,460,0.85501858736059477,0.79546807553526477,0.8274060217863819,1.1661903789690602
-0.59999999999999998,-0.90000000000000002,0,462,0.85873605947955389,0.79901417482604487,0.83067535389452551,1.0816653826391969
-0.59999999999999998,-0.80000000000000004,0,463,0.86059479553903351,0.80078722447143502,0.83230153091894155,1
-0.59999999999999998,-0.69999999999999996,0,466,0.86617100371747213,0.80670983240972038,0.8372893960893899,0.92195444572928864
-0.59999999999999998,-0.59999999999999998,0,472,0.87732342007434949,0.81795158928417599,0.84690448734640233,0.84852813742385702
-0.59999999999999998,-0.5,0,474,0.8810408921933085,0.82210114757707142,0.85011330639776983,0.78102496759066542
-0.59999999999999998,-0.40000000000000002,0,477,0.88661710037174724,0.8280237555153569,0.8548131306751996,0.7211102550927978
-0.59999999999999998,-0.29999999999999999,0,480,0.89219330855018586,0.83394636345364226,0.85944151222253307,0.67082039324993692
-0.59999999999999998,-0.20000000000000001,0,483,0.89776951672862448,0.83926551238981251,0.86396587763710186,0.63245553203367588
-0.59999999999999998,-0.10000000000000001,0,488,0.90706319702602234,0.84813076061676285,0.87142950392198248,0.60827625302982191
-0.59999999999999998,-0,0,485,0.9014869888475836,0.84522544768905361,0.86706383371669649,0.59999999999999998
-0.59999999999999998,0.10000000000000001,0,487,0.90520446096654272,0.84997846498406415,0.8700359563807839,0.60827625302982191
-0.59999999999999998,0.20000000000000001,0,484,0.8996282527881041,0.84646969305423958,0.86568470523915486,0.63245553203367588
-0.59999999999999998,0.29999999999999999,0,482,0.89591078066914498,0.84473397076980505,0.86281214906233716,0.67082039324993692
-0.59999999999999998,0.40000000000000002,0,482,0.89591078066914498,0.8459408887740355,0.86284028464726303,0.7211102550927978
-0.59999999999999998,0.5,0,475,0.88289962825278812,0.83775375427111154,0.85281701812367772,0.78102496759066542
-0.59999999999999998,0.59999999999999998,0,472,0.87732342007434949,0.83484844134340219,0.84856852676685668,0.84852813742385702
-0.59999999999999998,0.69999999999999996,0,466,0.86617100371747213,0.82903781548798339,0.84011425659719163,0.92195444572928864
-0.59999999999999998,0.80000000000000004,0,460,0.85501858736059477,0.82202027162833435,0.83166353331270881,1
-0.59999999999999998,0.90000000000000002,0,455,0.84572490706319703,0.81737923641619048,0.82467822179352368,1.0816653826391969
-0.59999999999999998,1,0,447,0.83085501858736055,0.80802251126999158,0.81347543720321813,1.1661903789690602
-0.5,-1,0,463,0.86059479553903351,0.8108526909198801,0.83922759307217198,1.1180339887498949
-0.5,-0.90000000000000002,0,465,0.86431226765799252,0.81439879021066031,0.84250575642254255,1.0295630140987
-0.5,-0.80000000000000004,0,466,0.86617100371747213,0.81617183985605035,0.84413638066691643,0.94339811320566047
-0.5,-0.69999999999999996,0,469,0.87174721189591076,0.82209444779433583,0.84914167510508209,0.86023252670426265
-0.5,-0.59999999999999998,0,475,0.88289962825278812,0.83333620466879144,0.85878861029506648,0.78102496759066542
-0.5,-0.5,0,477,0.88661710037174724,0.83748576296168675,0.86201112991103379,0.70710678118654757
-0.5,-0.40000000000000002,0,480,0.89219330855018586,0.84340837089997223,0.86672976713745487,0.6403124237432849
-0.5,-0.29999999999999999,0,483,0.89776951672862448,0.8493309788382577,0.87137738679012144,0.5830951894845301
