epoch,lr,original_loss,utility_loss_unweighted,utility_loss_weighted,total_loss,adapter_gradient_norm,router_gradient_norm,global_gradient_norm,utility_valid_count,acc,macro_f1,bacc,macro_auc,weighted_f1
16,0.01,2.1018567085266113,0.0,0.0,2.1018567085266113,0.018873894587159157,0.0001262973964912817,0.055558156222105026,0,0.6333333333333333,0.5571428571428572,0.65625,0.8767424704924706,0.5025396825396825
17,0.01,2.0094246864318848,0.0,0.0,2.0094246864318848,0.02085319347679615,0.00017808812845032662,0.07883698493242264,0,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.8798535878429746,0.48901960784313725
18,0.01,2.105320453643799,0.0,0.0,2.105320453643799,0.05054280161857605,0.0002343279484193772,0.5007752776145935,0,0.6,0.5102821616451458,0.6354166666666666,0.866411235515009,0.4733142037302726
19,0.01,2.051668643951416,0.0,0.0,2.051668643951416,0.060855764895677567,0.00040201906813308597,0.23179160058498383,0,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8852844995238863,0.4876255020080321
20,0.01,1.9747092723846436,0.0,0.0,1.9747092723846436,0.039395395666360855,0.00027411157498136163,0.18184366822242737,0,0.6166666666666667,0.5288515406162465,0.6086309523809524,0.8837614276883144,0.48901960784313725
21,0.009999830837037664,1.9604860544204712,0.0,0.0,1.9604860544204712,0.05101713910698891,0.00024632722488604486,0.1485634446144104,0,0.6166666666666667,0.5326305220883535,0.6458333333333334,0.8622363016525751,0.4876255020080321
22,0.009999323359712722,1.9024206399917603,0.0,0.0,1.9024206399917603,0.0899064913392067,0.000592418888118118,0.09372147172689438,0,0.6166666666666667,0.600859010270775,0.6676587301587302,0.8128334475622211,0.5658562091503269
23,0.009998477602710573,1.748136281967163,0.0,0.0,1.748136281967163,0.01787238009274006,0.0001520577643532306,0.16785931587219238,0,0.7333333333333333,0.7808740525721657,0.8224206349206349,0.8766879957917694,0.7290630543460731
24,0.009997293623837585,1.816036581993103,0.0,0.0,1.816036581993103,0.07243504375219345,0.0002991802175529301,0.31781426072120667,0,0.7,0.7547474747474747,0.8015873015873015,0.8931319761213629,0.692040404040404
25,0.00999577150401714,1.6752341985702515,0.0,0.0,1.6752341985702515,0.03468327224254608,0.0001156298239948228,0.10825599730014801,0,0.7166666666666667,0.7244444444444444,0.7465277777777777,0.9025502199146067,0.6846666666666666
26,0.009993911347284109,1.7332098484039307,0.0,0.0,1.7332098484039307,0.10526464879512787,0.0006882179295644164,0.2158915400505066,0,0.7833333333333333,0.7934170471841705,0.8045634920634921,0.9216887781156649,0.7659950532724504
27,0.009991713280777732,1.6682230234146118,0.0,0.0,1.6682230234146118,0.09481148421764374,0.0006279002409428358,0.30187422037124634,0,0.6833333333333333,0.7237140470223178,0.7594246031746031,0.9198636356655224,0.6721446473326173
28,0.009989177454732934,1.5549368858337402,0.0,0.0,1.5549368858337402,0.021595748141407967,0.00011629387154243886,0.47006288170814514,0,0.85,0.8448744675065711,0.8953373015873015,0.9154615638990639,0.8503285597752198
29,0.00998630404247006,1.464751958847046,0.0,0.0,1.464751958847046,0.01537956390529871,0.00012557703303173184,0.4917750060558319,0,0.8,0.8315192743764173,0.8640873015873015,0.9334091179610047,0.7993650793650794
