epoch,lr,loss,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,cap_saturation_fraction_MRI,cap_saturation_fraction_PET,cap_saturation_fraction_CSF,cap_saturation_fraction_Risk,cap_saturation_fraction_ROI,mean_residual_shared_ratio_MRI,mean_residual_shared_ratio_PET,mean_residual_shared_ratio_CSF,mean_residual_shared_ratio_Risk,mean_residual_shared_ratio_ROI
12,0.01,2.6399712562561035,39,0.65,0.6917174990468928,0.78125,0.825262858429132,0.615935156944974,0.0,0.0,0.0,0.0,0.7666667103767395,0.035866666585206985,0.012716758996248245,0.015327727422118187,0.015164145268499851,0.14727012813091278
13,0.01,2.385596752166748,39,0.65,0.6756021756021756,0.6631944444444445,0.8626987366668971,0.6521173271173271,0.0,0.0,0.0,0.0,0.7666667103767395,0.035973262041807175,0.012152213603258133,0.015287628397345543,0.01510937511920929,0.145796999335289
14,0.01,2.9167981147766113,36,0.6,0.5047619047619047,0.5982142857142857,0.8466045223120696,0.4742857142857143,0.0,0.0,0.0,0.0,0.46666669845581055,0.027220113202929497,0.009149840101599693,0.01198080088943243,0.010984061285853386,0.13512848317623138
15,0.01,2.4073359966278076,35,0.5833333333333334,0.48971193415637854,0.625,0.8607173694143034,0.45946502057613164,0.0,0.0,0.0,0.0,0.05000000447034836,0.021894674748182297,0.007265870925039053,0.009385944344103336,0.008627170696854591,0.11600880324840546
16,0.01,2.289598226547241,35,0.5833333333333334,0.48971193415637854,0.625,0.8720307088526428,0.45946502057613164,0.0,0.0,0.0,0.0,0.0,0.018562862649559975,0.006046537309885025,0.007679732516407967,0.007136316504329443,0.09917323291301727
17,0.01,2.341156005859375,35,0.5833333333333334,0.48971193415637854,0.625,0.8751817823162164,0.45946502057613164,0.0,0.0,0.0,0.0,0.0,0.01593310758471489,0.005087001249194145,0.006346432492136955,0.005978539120405912,0.0855460986495018
18,0.01,2.293272018432617,36,0.6,0.5047619047619047,0.5982142857142857,0.8734275529676473,0.4742857142857143,0.0,0.0,0.0,0.0,0.0,0.013847666792571545,0.004327493719756603,0.005319309886544943,0.0050690206699073315,0.07490027695894241
19,0.01,2.239090919494629,35,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.8496607450027261,0.4598039215686275,0.0,0.0,0.0,0.0,0.0,0.012317794375121593,0.003763448214158416,0.004589057061821222,0.004398184362798929,0.06769174337387085
20,0.01,2.209944725036621,36,0.6,0.5102821616451458,0.6354166666666666,0.8470039034602714,0.4733142037302726,0.0,0.0,0.0,0.0,0.0,0.011260281316936016,0.0033605354838073254,0.004084838554263115,0.003920048475265503,0.06369302421808243
21,0.009999830837037664,2.2952628135681152,35,0.5833333333333334,0.48971193415637854,0.625,0.8364831469194677,0.45946502057613164,0.0,0.0,0.0,0.0,0.0,0.01029195450246334,0.0030033306684345007,0.0036322083324193954,0.0034947057720273733,0.05969933047890663
22,0.009999323359712722,2.169935703277588,35,0.5833333333333334,0.48971193415637854,0.625,0.8294719289707498,0.45946502057613164,0.0,0.0,0.0,0.0,0.0,0.00942128337919712,0.0026919192168861628,0.0032321687322109938,0.0031220356468111277,0.05602039396762848
23,0.009998477602710573,2.215482473373413,35,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.8293951964352907,0.4598039215686275,0.0,0.0,0.0,0.0,0.0,0.00883952435106039,0.002475642366334796,0.002981003373861313,0.0028580883517861366,0.05481073632836342
24,0.009997293623837585,2.144440174102783,35,0.5833333333333334,0.47338935574229696,0.5505952380952381,0.8223966972492915,0.4598039215686275,0.0,0.0,0.0,0.0,0.0,0.008442878723144531,0.0023221014998853207,0.002818013308569789,0.002665516920387745,0.055032890290021896
